Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;AskPrice/ATR_D1;AskPrice/ATR_W1;AskPrice/ATR_MN1;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
SI_Z;USD;USD;Silver December;3;0.001;0.010000000000005116;0.005;25.0;1.0;4;2;1.0;20.0;1.0;23500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4212.134262;38.535;38.545;Commodities;Commodities - Precious;0.785357;1.922143;4.13;109.27835677779215;0.025943702166312404;49.07959055563266;20.05313860623273;9.332929782082324;0.020375068102218185;0.04986750551303671;0.1071474899468154
YM_U;USD;USD;E-Mini DJIA September;0;1.0;2.0;1.0;5.0;1.0;4;2;1.0;20.0;1.0;12060.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2621.023453;44930.0;44932.0;Indexes;Undefined;502.714286;1232.571429;2637.214286;0.0583331134380842;0.004451170657883023;89.37880074488275;36.453871104617335;17.037675034041584;0.011188335395709072;0.02743192889254874;0.058693454241965634
ZC_U;USD;USD;Corn September;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;1790.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;388.946216;380.75;381.0;Commodities;Commodities - Agricultural;7.125;18.875;41.035714;1.0208562099737533;0.06561679790026247;53.47368421052632;20.18543046357616;9.2845953649058;0.018700787401574805;0.04954068241469816;0.10770528608923884
ZC_Z;USD;USD;Corn December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;1300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;391.193369;404.0;404.25;Commodities;Undefined;7.089286;19.821429;43.464286;0.9677015930735932;0.06184291898577613;57.02266772704613;20.3945941536304;9.300739462279443;0.017536885590599877;0.049032601113172536;0.10751833271490414
ZL_Z;USD;USD;Soybean Oil December;2;0.01;0.00999999999999801;0.01;6.0;1.0;4;2;1.0;20.0;1.0;3200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;653.236314;52.89;52.9;Commodities;Undefined;1.2;3.073571;5.637857;12.348512551984877;0.0189035916824159;44.083333333333336;17.21125036643045;9.382997830558669;0.022684310018903593;0.05810153119092627;0.10657574669187146
ZM_Z;USD;USD;Soybean Meal December;1;0.1;0.10000000000002274;0.1;10.0;1.0;4;2;1.0;20.0;1.0;2000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;512.605679;294.9;295.0;Commodities;Commodities - Agricultural;5.971429;9.95;29.65;1.7376463694915254;0.03389830508475347;49.40191033000644;29.64824120603016;9.949409780775715;0.02024213220338983;0.03372881355932203;0.10050847457627118
ZN_U;USD;USD;10Y US Treasury Note September;6;1e-06;0.015625;0.015625;15.625;1.0;4;2;1.0;20.0;1.0;2720.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;631.80957;111.484375;111.5;Financial;Undefined;0.497768;1.107143;2.930804;5.666453542600897;0.014013452914798207;223.9999357130229;100.70966442455943;38.04416808493505;0.004464286995515695;0.009929533632286996;0.026285237668161435
ZN_Z;USD;USD;10Y US Treasury Note December;6;1e-06;0.015625;0.015625;15.625;1.0;4;2;1.0;20.0;1.0;2700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;634.384281;111.484375;111.5;Financial;Undefined;0.498884;1.108259;2.930804;5.689545121076233;0.014013452914798207;223.4988494319321;100.60825132031412;38.04416808493505;0.00447429596412556;0.009939542600896863;0.026285237668161435
ZS_X;USD;USD;Soybeans November;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;871.177517;1044.75;1045.0;Commodities;Commodities - Agricultural;17.017857;36.071429;77.017857;0.8336626956937798;0.023923444976076555;61.40608655954743;28.970296685501424;13.568281963493218;0.016285030622009568;0.03451811387559809;0.0737012985645933
FDAX_U;EUR;EUR;DAX Index September;0;1.0;3.0;1.0;25.0;1.0;4;2;1.0;20.0;1.0;28400.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;10238.408109;24332.0;24335.0;Indexes;Undefined;302.428571;798.785714;1464.357143;0.4207276806657078;0.012327922745017464;80.46528117212841;30.464991515859783;16.618213744049733;0.012427720197246764;0.032824561906718716;0.060174939100061636
FESX_U;EUR;EUR;Euro Stoxx 50 September;0;1.0;1.0;1.0;10.0;1.0;4;2;1.0;20.0;1.0;2700.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;1007.990425;5456.0;5457.0;Indexes;Undefined;66.857143;165.571429;354.5;0.1847151227780832;0.01832508704416346;81.62179469738933;32.95858490174655;15.393511988716504;0.012251629649990835;0.0303411084845153;0.06496243357155947
FGBL_U;EUR;EUR;Bund September;2;0.01;0.01999999999998181;0.01;10.0;1.0;4;2;1.0;20.0;1.0;2900.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;642.912082;128.74;128.76;Indexes;Undefined;0.636429;1.329286;3.493571;4.993104085119604;0.015532774153449684;202.31636207652383;96.86403076538834;36.856271133462;0.0049427539608574095;0.010323749611680647;0.02713242466604536
